selling_price,km_driven,seats,mileage_num,engine_cc,max_power_bhp,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner,no_years
950000,50000,5.0,25.5,1498.0,98.6,1,0,0,1,0,1,0,0,0,0,4
525000,40000,5.0,26.59,1248.0,74.0,1,0,0,1,0,1,0,0,0,0,6
600000,72000,5.0,21.5,1248.0,88.8,1,0,0,1,0,1,0,0,0,0,9
500000,35000,5.0,20.3,1199.0,83.81,0,0,1,1,0,1,0,0,0,0,3
575000,45000,5.0,21.4,1197.0,83.1,0,0,1,1,0,1,0,0,0,0,5
275000,28000,5.0,24.7,796.0,47.3,0,0,1,1,0,1,0,0,0,0,4
300000,70000,7.0,18.2,1248.0,73.8,1,0,0,1,0,1,0,0,0,0,8
220000,120000,5.0,18.9,1061.0,67.0,0,0,1,1,0,1,0,0,0,0,12
254999,25000,8.0,16.8,796.0,34.2,0,0,1,1,0,1,0,0,0,0,3
670000,70000,5.0,24.3,1248.0,88.5,1,0,0,1,0,1,0,0,0,0,4
70000,50000,5.0,18.89078740157478,1418.9650590551182,89.08584830216492,0,0,1,1,0,1,0,1,0,0,18
150000,35000,5.0,14.0,796.0,35.0,0,0,1,1,0,1,0,1,0,0,9
730000,2388,5.0,18.6,1197.0,81.83,0,0,1,1,0,1,0,0,0,0,3
650000,16200,5.0,24.3,1248.0,88.5,1,0,0,1,0,1,0,0,0,0,4
330000,10000,4.0,33.44,796.0,40.3,0,0,0,1,0,1,0,1,0,0,2
366000,15000,5.0,23.95,998.0,67.1,0,0,1,1,0,1,0,0,0,0,2
1149000,5000,5.0,17.0,1591.0,121.3,0,0,1,1,0,1,0,0,0,0,2
150000,42000,5.0,20.63,1198.0,67.0,0,0,1,1,0,1,0,0,0,0,5
425000,60000,7.0,13.93,2179.0,138.03,1,0,0,1,0,1,0,1,0,0,10
150000,76000,4.0,16.1,796.0,37.0,0,0,1,1,0,1,0,0,0,0,9
2100000,5000,5.0,16.0,1368.0,160.77,0,0,1,1,0,0,0,0,0,0,2
925000,28900,5.0,17.8,1497.0,117.3,0,0,1,0,0,1,0,0,0,0,3
425000,86300,5.0,16.8,1497.0,116.3,0,0,1,0,0,1,0,0,0,0,8
675000,23300,5.0,18.5,1197.0,83.14,0,0,1,0,0,0,0,0,0,0,3
819999,32600,5.0,24.3,1248.0,88.5,1,0,0,0,0,1,0,0,0,0,3
390000,10300,5.0,23.95,998.0,67.05,0,0,1,0,0,1,0,0,0,0,3
1500000,77000,7.0,12.55,2982.0,168.5,1,0,0,0,0,1,0,0,0,0,7
700000,99000,7.0,12.99,2494.0,100.0,1,0,0,0,0,1,0,0,0,0,8
1450000,27800,5.0,14.8,2143.0,120.7,1,0,0,0,0,0,0,1,0,0,7
425000,49800,5.0,24.7,1498.0,98.63,1,0,0,0,0,1,0,0,0,0,6
1090000,151000,7.0,13.5,2477.0,175.56,1,0,0,0,0,1,0,0,0,0,8
600000,54700,5.0,26.0,1498.0,98.6,1,0,0,0,0,1,0,0,0,0,6
850000,64000,5.0,20.65,1462.0,103.25,0,0,1,0,0,1,0,0,0,0,3
525000,63000,5.0,27.3,1498.0,98.6,1,0,0,0,0,1,0,0,0,0,6
1650000,127700,7.0,11.36,2755.0,171.5,1,0,0,0,0,0,0,1,0,0,5
950000,99000,7.0,12.99,2494.0,100.6,1,0,0,0,0,1,0,0,0,0,5
1750000,33900,5.0,17.68,1968.0,174.33,1,0,0,0,0,0,0,1,0,0,8
1590000,25000,5.0,14.28,1798.0,138.03,0,0,1,0,0,0,0,0,0,0,3
1689999,50000,5.0,18.53,1968.0,187.74,1,0,0,0,0,0,0,0,0,0,8
1425000,59000,5.0,14.84,2143.0,170.0,1,0,0,0,0,0,0,0,0,0,8
265000,120000,5.0,21.12,1248.0,88.8,1,0,0,1,0,1,0,0,0,0,10
190000,110000,5.0,20.36,1197.0,78.9,0,0,1,1,0,1,0,0,0,1,10
425000,60000,5.0,21.27,1396.0,88.76,1,0,0,1,0,1,0,0,0,0,8
630000,147000,5.0,26.59,1248.0,74.0,1,0,0,1,0,1,0,1,0,0,6
600000,25000,5.0,18.16,1196.0,86.8,0,0,1,1,0,1,0,0,0,1,4
650000,30000,5.0,21.4,1197.0,83.1,0,0,1,1,0,1,0,0,0,0,2
540000,40000,5.0,22.0,1498.0,108.495,1,0,0,1,0,1,0,0,0,0,5
630000,135000,5.0,25.1,1498.0,98.6,1,0,0,1,0,1,0,0,0,0,6
448000,30000,5.0,20.51,998.0,67.0,0,0,1,1,0,0,0,0,0,0,3
500000,80000,5.0,21.66,1498.0,108.62,1,0,0,1,0,1,0,0,0,0,4
745000,70000,5.0,24.3,1248.0,88.5,1,0,0,1,0,1,0,0,0,0,5
1025000,9850,5.0,24.3,1248.0,88.5,1,0,0,1,0,0,0,0,0,0,2
235000,60000,5.0,20.36,1197.0,78.9,0,0,1,1,0,1,0,1,0,0,10
630000,70000,5.0,25.2,1248.0,74.0,1,0,0,1,0,1,0,0,0,0,5
1700000,78000,7.0,12.55,2982.0,168.5,1,0,0,1,0,1,0,1,0,0,6
450000,120000,5.0,22.9,1248.0,74.0,1,0,0,1,0,1,0,1,0,0,8
450000,120000,7.0,16.02,1373.0,93.7,0,0,1,1,0,1,0,1,0,0,9
50000,70000,5.0,18.89078740157478,1418.9650590551182,89.08584830216492,1,0,0,1,0,1,0,0,0,0,18
450000,170000,5.0,20.54,1598.0,103.6,1,0,0,1,0,1,0,0,0,0,8
1200000,140000,8.0,12.99,2494.0,100.6,1,0,0,1,0,1,0,0,0,0,5
610000,90000,5.0,22.77,1498.0,98.59,1,0,0,1,0,1,0,0,0,0,6
2500000,30000,5.0,15.71,1998.0,189.0,0,0,1,1,0,0,0,1,0,0,5
484999,10000,5.0,23.1,998.0,67.04,0,0,1,0,0,1,0,0,0,0,4
275000,49000,5.0,19.02,1198.0,67.05,0,0,1,0,0,1,0,0,0,0,5
315000,32000,5.0,24.7,796.0,47.3,0,0,1,0,0,1,0,0,0,0,5
275000,38000,5.0,24.7,796.0,47.3,0,0,1,0,0,1,0,0,0,0,5
475000,78000,5.0,18.89078740157478,1418.9650590551182,89.08584830216492,1,0,0,0,0,1,0,0,0,0,6
290000,28000,5.0,19.81,1086.0,68.05,0,0,1,0,0,1,0,0,0,0,9
280000,32000,5.0,14.0,796.0,35.0,0,0,1,0,0,1,0,0,0,0,4
225000,44000,5.0,26.2,998.0,58.2,0,1,0,0,0,1,0,0,0,0,11
455000,42000,5.0,16.47,1198.0,74.0,0,0,1,0,0,1,0,0,0,0,6
351000,45000,5.0,19.81,1086.0,68.05,0,0,1,0,0,1,0,1,0,0,6
535000,12000,5.0,15.04,1598.0,103.6,0,0,1,0,0,1,0,1,0,0,9
175000,55500,5.0,18.2,998.0,67.1,0,0,1,0,0,1,0,0,0,0,12
525000,61500,5.0,18.5,1197.0,82.85,0,0,1,0,0,1,0,0,0,0,8
600000,150000,5.0,26.59,1248.0,74.0,1,0,0,1,0,1,0,0,0,0,5
565000,72000,5.0,19.1,1197.0,82.0,0,0,1,0,0,0,0,0,0,0,5
120000,68000,5.0,19.7,796.0,46.3,0,0,1,0,0,1,0,0,0,1,13
725000,110000,5.0,22.54,1396.0,88.73,1,0,0,1,0,1,0,0,0,0,4
185000,77000,5.0,21.79,998.0,67.05,0,0,1,0,0,1,0,1,0,0,12
200000,100000,5.0,18.8,1248.0,90.0,1,0,0,1,0,1,0,1,0,0,11
615000,10000,5.0,21.21,1197.0,81.8,0,0,1,1,0,1,0,0,0,0,2
270000,100000,7.0,15.37,1196.0,73.0,0,0,1,1,0,1,0,0,0,1,5
610000,35000,5.0,21.4,1197.0,83.1,0,0,1,1,0,1,0,0,0,0,3
625000,70000,8.0,11.79,2179.0,120.0,1,0,0,1,0,0,0,1,0,0,7
400000,5000,5.0,19.0,1194.0,94.68,0,0,1,1,0,1,0,1,0,0,1
866000,37800,5.0,17.0,1591.0,121.3,0,0,1,1,0,1,0,0,0,0,4
700000,114000,5.0,14.3,1798.0,160.0,0,0,1,1,0,1,0,0,0,0,11
300000,48000,5.0,15.8,1172.0,65.0,0,0,1,1,0,1,0,0,0,0,11
1700000,32000,7.0,15.1,2179.0,155.0,1,0,0,1,0,1,0,0,0,0,2
375000,100000,5.0,19.09,1405.0,69.01,1,0,0,1,0,1,0,0,0,0,5
522000,150000,5.0,22.32,1582.0,126.32,1,0,0,1,0,1,0,1,0,0,8
451999,69000,5.0,21.9,1396.0,88.76,1,0,0,1,0,1,0,0,0,0,8
300000,100000,5.0,14.53,1798.0,138.1,0,0,1,1,0,1,0,1,0,0,12
475000,13000,5.0,21.63,998.0,67.04,0,0,1,1,0,1,0,0,0,0,1
780000,60000,5.0,24.3,1248.0,88.5,1,0,0,1,0,1,0,0,0,0,5
595000,40000,5.0,20.85,1197.0,83.14,0,0,1,1,0,1,0,0,0,0,4
440000,35000,5.0,20.51,998.0,67.04,0,0,1,1,0,1,0,0,0,0,4
300000,120000,5.0,18.89078740157478,1418.9650590551182,89.08584830216492,1,0,0,1,0,1,0,1,0,0,11
400000,70000,5.0,20.45,1461.0,83.8,1,0,0,1,0,1,0,0,0,1,7
1140000,50000,5.0,19.67,1582.0,126.2,1,0,0,1,0,1,0,0,0,0,5
850000,76139,5.0,23.0,1498.0,98.96,1,0,0,1,0,1,0,0,0,0,4
370000,175000,5.0,19.3,1248.0,73.9,1,0,0,1,0,1,1,0,0,0,9
350000,25000,5.0,23.01,999.0,67.0,0,0,1,1,0,1,0,0,0,0,3
360000,40000,5.0,23.1,998.0,67.04,0,0,1,1,0,1,0,1,0,0,6
105000,65000,5.0,19.7,796.0,46.3,0,0,1,1,0,1,1,0,0,0,13
625000,90000,7.0,20.77,1248.0,88.76,1,0,0,1,0,1,0,1,0,0,8
135000,80000,5.0,17.92,1086.0,62.1,0,0,1,1,0,1,0,1,0,0,12
700000,110000,7.0,20.77,1248.0,88.76,1,0,0,1,0,1,0,1,0,0,6
690000,1303,5.0,17.8,1198.0,86.7,0,0,1,0,0,1,0,0,0,0,2
3975000,31800,5.0,17.01,1968.0,188.0,1,0,0,0,0,0,0,0,0,0,3
5150000,20000,5.0,22.37,2487.0,214.56,0,0,1,0,0,0,0,0,0,0,2
3200000,45000,5.0,19.33,1999.0,177.0,1,0,0,0,0,0,0,0,0,0,4
4100000,17000,5.0,9.5,3604.0,280.0,0,0,1,1,0,0,0,0,0,0,4
4500000,21000,7.0,12.83,1999.0,148.31,1,0,0,0,0,0,0,0,0,0,2
6000000,37000,5.0,13.5,2987.0,254.79,1,0,0,0,0,0,0,0,0,0,4
3790000,29500,5.0,22.48,1995.0,187.74,1,0,0,0,0,0,0,0,0,0,3
2150000,27000,5.0,18.89078740157478,1418.9650590551182,89.08584830216492,1,0,0,0,0,0,0,0,0,0,4
5800000,7500,5.0,16.78,1995.0,190.0,1,0,0,0,0,0,0,0,0,0,2
1864999,50000,5.0,14.67,1798.0,177.46,0,0,1,0,0,0,0,0,0,0,3
2700000,35000,5.0,15.0,2143.0,204.0,1,0,0,0,0,0,0,0,0,0,5
1750000,19000,5.0,13.96,1451.0,141.0,0,0,1,0,0,0,0,0,0,0,2
795000,41000,5.0,18.0,1497.0,117.6,0,0,1,0,0,0,0,0,0,0,4
625000,39000,5.0,14.28,1798.0,138.03,0,0,1,0,0,0,0,0,0,0,8
3400000,22000,5.0,18.0,1969.0,190.0,1,0,0,0,0,0,0,0,0,0,3
2650000,53000,7.0,12.07,2967.0,241.4,1,0,0,0,0,0,0,0,0,0,6
535000,40000,5.0,26.21,1248.0,88.5,1,0,0,0,0,1,0,0,0,0,6
5850000,47000,5.0,13.5,2987.0,282.0,1,0,0,0,0,0,0,0,0,0,4
975000,72200,5.0,10.8,2497.0,150.0,0,0,1,0,0,0,0,1,0,0,11
805000,49900,5.0,16.3,1797.0,147.5,0,0,1,0,0,1,0,0,0,0,5
2625000,9000,5.0,13.6,1999.0,177.0,1,0,0,0,0,0,0,0,0,0,4
811000,11000,5.0,17.0,1198.0,108.5,0,0,1,0,0,1,0,0,0,0,3
375000,49000,5.0,15.04,1598.0,103.6,0,0,1,1,0,1,0,0,0,0,10
550000,95000,5.0,16.3,1797.0,147.5,0,0,1,1,0,1,0,0,0,0,9
645000,11000,5.0,14.3,1598.0,103.5,0,0,1,0,0,0,0,0,0,0,5
2550000,18000,5.0,15.04,1991.0,183.0,0,0,1,0,0,0,0,0,0,0,3
599000,46100,7.0,16.02,1373.0,93.7,0,0,1,0,0,1,0,0,0,0,7
2700000,16000,5.0,14.74,1991.0,181.04,0,0,1,0,0,0,0,0,0,0,4
875000,18000,5.0,15.6,1497.0,116.3,0,0,1,0,0,0,0,0,0,0,4
894999,9654,5.0,19.56,1197.0,81.8,0,0,1,0,0,0,0,0,0,0,2
175000,11000,5.0,23.95,998.0,67.05,0,0,1,0,0,1,0,0,0,0,10
340000,24300,5.0,21.21,1197.0,81.8,0,0,1,0,0,1,0,0,0,0,9
1525000,42163,7.0,11.36,2755.0,171.5,1,0,0,0,0,0,0,1,0,0,5
1025000,8000,5.0,21.5,1497.0,108.5,1,0,0,0,0,0,0,0,0,0,3
2150000,30000,5.0,22.69,1995.0,190.0,1,0,0,0,0,0,0,0,0,0,5
1900000,41000,5.0,19.16,2494.0,157.7,0,0,1,0,0,0,0,0,0,0,5
2900000,12000,5.0,18.12,1995.0,190.0,1,0,0,0,0,0,0,0,0,0,5
450000,71000,5.0,12.1,2362.0,164.7,0,0,1,0,0,0,0,0,0,0,12
850000,20000,7.0,17.5,1373.0,91.1,0,0,1,1,0,1,0,0,0,0,5
10000000,30000,4.0,42.0,1969.0,400.0,0,0,1,1,0,0,0,0,0,0,4
300000,100000,5.0,20.54,1598.0,103.6,1,0,0,1,0,1,0,1,0,0,10
575000,9500,5.0,18.16,1196.0,86.8,0,0,1,1,0,1,0,0,0,0,3
160000,120000,5.0,20.0,1399.0,68.0,1,0,0,1,0,1,0,0,0,0,10
515000,36600,5.0,20.4,1197.0,81.8,0,0,1,1,0,1,0,0,0,0,6
390000,50000,5.0,20.51,998.0,67.0,0,0,1,1,0,0,0,1,0,0,6
550000,14000,5.0,18.6,1197.0,81.83,0,0,1,1,0,1,0,1,0,0,5
40000,40000,4.0,16.1,796.0,37.0,0,0,1,1,0,1,0,1,0,0,22
220000,120000,5.0,21.1,1248.0,73.9,1,0,0,1,0,1,0,0,0,0,11
425000,70000,5.0,18.9,1197.0,82.0,0,0,1,1,0,1,0,0,0,0,6
480000,13000,5.0,19.44,999.0,75.0,0,0,1,1,0,1,0,0,0,0,2
400000,60000,5.0,18.9,1197.0,82.0,0,0,1,1,0,1,0,1,0,0,7
487000,35000,5.0,19.1,1197.0,85.8,0,0,1,1,0,1,0,0,0,0,7
386000,44000,5.0,19.1,1197.0,82.0,0,0,1,1,0,1,0,1,0,0,5
100000,120000,5.0,13.0,1493.0,100.0,0,0,1,1,0,1,0,1,0,0,16
300000,60000,5.0,21.43,1364.0,87.2,1,0,0,1,0,1,0,0,0,0,11
100000,60000,5.0,18.5,796.0,53.0,0,0,1,1,0,1,0,0,0,0,21
1750000,30000,7.0,13.0,2982.0,168.5,1,0,0,1,0,1,0,1,0,0,7
450000,15000,6.0,18.15,1198.0,82.0,0,0,1,1,0,1,0,1,0,0,5
490000,90000,5.0,22.95,1248.0,74.0,1,0,0,1,0,1,0,0,0,0,4
345000,47000,5.0,17.0,1497.0,118.0,0,0,1,1,0,1,0,1,0,0,12
85000,90000,5.0,17.3,993.0,60.0,0,0,1,1,0,1,0,0,0,0,16
215000,120600,5.0,18.9,998.0,67.1,0,0,1,1,0,1,0,1,0,0,11
320000,100000,5.0,16.2,1599.0,103.2,0,0,1,1,0,1,0,0,0,1,11
459999,60000,5.0,20.85,1197.0,83.14,0,0,1,1,0,1,0,1,0,0,5
65000,86000,5.0,15.3,1341.0,83.0,0,0,1,1,0,1,0,0,0,0,16
720000,5000,5.0,18.6,1197.0,81.86,0,0,1,1,0,1,0,0,0,0,1
800000,37000,5.0,28.09,1248.0,88.5,1,0,0,1,0,1,0,0,0,0,4
520000,14000,5.0,20.3,1199.0,84.0,0,0,1,1,0,1,0,0,0,0,2
580000,70000,7.0,20.77,1248.0,88.76,1,0,0,1,0,1,0,0,0,0,6
235000,120000,5.0,18.89078740157478,1418.9650590551182,89.08584830216492,1,0,0,1,0,1,0,0,0,0,9
600000,50000,5.0,17.4,1497.0,117.3,0,0,1,1,0,1,0,0,0,0,6
290000,60000,5.0,19.4,1198.0,86.8,0,0,1,1,0,1,0,1,0,0,7
360000,50000,5.0,26.6,998.0,58.16,0,0,0,1,0,1,0,0,0,0,5
550000,50000,5.0,20.85,1197.0,83.14,0,0,1,1,0,1,0,0,0,0,4
375000,70000,5.0,18.5,1197.0,82.85,0,0,1,1,0,1,0,0,0,0,8
40000,90000,5.0,18.89078740157478,1418.9650590551182,89.08584830216492,0,0,1,1,0,1,0,1,0,0,18
420000,35000,5.0,20.51,998.0,67.0,0,0,1,1,0,0,0,0,0,0,3
550000,20000,5.0,21.21,1197.0,81.8,0,0,1,1,0,1,0,0,0,0,4
270000,20000,5.0,24.7,796.0,47.3,0,0,1,1,0,1,0,0,0,0,3
700000,7800,5.0,22.0,1197.0,81.8,0,0,1,1,0,0,0,0,0,0,3
500000,20000,5.0,20.4,1197.0,81.8,0,0,1,1,0,1,0,0,0,0,4
1250000,15000,7.0,17.6,2179.0,147.94,1,0,0,1,0,1,0,0,0,0,2
320000,31377,5.0,18.5,1197.0,82.85,0,0,1,1,0,1,0,1,0,0,8
700000,50000,5.0,28.4,1248.0,74.02,1,0,0,1,0,1,0,0,0,0,3
290000,60000,5.0,20.51,998.0,67.04,0,0,1,1,0,1,0,0,0,0,6
550000,100000,5.0,14.53,1794.0,138.1,0,0,1,1,0,0,0,0,0,0,9
265000,60000,5.0,19.4,1198.0,86.8,0,0,1,1,0,1,0,0,0,0,9
830000,5000,5.0,21.4,1197.0,83.1,0,0,1,1,0,0,0,0,0,0,3
800000,60000,7.0,14.1,2179.0,147.94,1,0,0,1,0,1,0,0,0,0,4
160000,25000,5.0,19.7,796.0,46.3,0,0,1,1,0,1,0,1,0,0,10
335000,30000,5.0,25.17,799.0,53.3,0,0,1,1,0,1,0,0,0,0,3
329000,80000,5.0,20.63,1198.0,67.0,0,0,1,1,0,1,0,1,0,0,4
775000,75000,5.0,24.3,1248.0,88.5,1,0,0,1,0,1,0,0,0,0,4
524000,32000,5.0,20.14,1197.0,81.86,0,0,1,1,0,1,0,0,0,0,1
245000,40000,5.0,22.74,796.0,47.3,0,0,1,1,0,1,0,0,0,0,6
275000,93000,5.0,17.0,1197.0,80.0,0,0,1,1,0,1,0,1,0,0,9
520000,60000,5.0,17.57,1193.0,88.7,0,0,1,1,0,1,0,0,0,0,3
130000,120000,5.0,18.89078740157478,1418.9650590551182,89.08584830216492,0,0,1,1,0,1,0,1,0,0,13
550000,37000,5.0,16.95,1498.0,97.7,0,0,1,1,0,1,0,0,0,0,7
910000,15000,5.0,17.0,1497.0,121.36,0,0,1,1,0,1,0,0,0,0,3
300000,80000,5.0,19.49,1198.0,67.04,0,0,1,1,0,1,0,0,0,0,6
350000,140000,5.0,20.51,998.0,67.04,0,0,1,1,0,1,0,0,0,0,5
900000,70000,7.0,12.83,2696.0,162.0,1,0,0,1,0,1,0,0,0,0,8
300000,120000,7.0,17.21,1493.0,100.0,1,0,0,1,0,1,0,1,0,0,8
250000,110000,5.0,21.1,1248.0,73.9,1,0,0,1,0,1,0,1,0,0,11
1100000,37000,5.0,19.67,1582.0,126.2,1,0,0,1,0,1,0,0,0,0,4
270000,44000,5.0,25.17,799.0,53.3,0,0,1,1,0,1,0,0,0,0,5
640000,80000,7.0,20.77,1248.0,88.76,1,0,0,1,0,1,0,0,0,0,6
650000,125000,7.0,15.1,2179.0,140.0,1,0,0,1,0,1,0,0,0,0,6
409999,13500,5.0,15.37,1196.0,73.0,0,0,1,1,0,1,0,0,0,0,4
165000,75000,5.0,17.92,1086.0,62.1,0,0,1,1,0,1,0,0,0,0,10
80000,120000,5.0,13.2,1495.0,94.0,0,0,1,1,0,1,0,1,0,0,14
535000,120000,7.0,15.1,2179.0,140.0,1,0,0,1,0,1,0,0,0,0,9
700000,70000,7.0,12.99,2494.0,100.57,1,0,0,1,0,1,0,0,0,0,8
550000,70000,5.0,23.4,1248.0,74.0,1,0,0,1,0,1,0,0,0,0,8
680000,15000,5.0,19.0,1199.0,88.76,0,0,1,1,0,0,0,0,0,0,2
200000,53000,5.0,20.36,1197.0,78.9,0,0,1,1,0,1,0,1,0,0,12
500000,120000,5.0,23.4,1248.0,74.0,1,0,0,1,0,1,0,1,0,0,7
1000000,70000,7.0,24.52,1248.0,88.5,1,0,0,1,0,1,0,0,0,0,5
110000,120000,5.0,14.2,1341.0,82.9,0,0,1,1,0,1,0,1,0,0,13
320000,100000,5.0,18.5,1197.0,80.0,0,0,1,1,0,1,0,1,0,0,9
75000,110000,5.0,18.89078740157478,1418.9650590551182,89.08584830216492,1,0,0,1,0,1,0,1,0,0,16
350000,100000,5.0,20.4,1197.0,83.11,0,0,1,1,0,1,0,0,0,0,6
170000,162500,5.0,19.4,1405.0,70.0,1,0,0,1,0,1,0,0,0,0,8
800000,39000,5.0,22.54,1396.0,88.73,1,0,0,1,0,1,0,0,0,0,4
500000,75000,5.0,26.8,1248.0,74.0,1,0,0,1,0,1,0,0,0,0,4
1380000,50000,7.0,17.6,2179.0,153.86,1,0,0,1,0,0,0,0,0,0,4
1300000,40000,8.0,17.3,1497.0,121.0,1,0,0,1,0,1,0,0,0,0,2
530000,92500,5.0,22.32,1582.0,126.3,1,0,0,1,0,1,0,0,0,0,8
360000,158000,5.0,23.4,1248.0,74.0,1,0,0,1,0,1,0,0,0,0,9
310000,120000,5.0,19.3,1248.0,73.9,1,0,0,1,0,1,0,0,0,0,9
725000,50000,5.0,26.0,1498.0,98.6,1,0,0,1,0,1,0,1,0,0,6
340000,110000,5.0,19.3,1248.0,73.9,1,0,0,1,0,1,0,0,0,0,9
550000,2000,5.0,25.4,1186.0,73.97,1,0,0,1,0,1,0,1,0,0,4
1150000,181000,7.0,11.5,2982.0,171.0,1,0,0,1,0,1,0,1,0,0,10
380000,70000,5.0,27.28,1047.0,69.0,1,0,0,1,0,1,0,0,0,0,5
350000,90000,5.0,17.97,1498.0,99.6,0,0,1,1,0,0,0,1,0,0,8
610000,2000,5.0,18.6,1197.0,81.86,0,0,1,1,0,1,0,0,0,0,2
525000,20000,5.0,20.85,1197.0,83.14,0,0,1,1,0,1,0,0,0,0,6
480000,120000,7.0,12.8,2494.0,102.0,1,0,0,1,0,1,0,0,0,0,10
780000,35000,6.0,16.55,2498.0,105.0,1,0,0,1,0,1,0,0,0,0,4
320000,193000,5.0,19.3,1248.0,73.9,1,0,0,1,0,1,0,0,0,0,9
375000,80000,5.0,20.4,1197.0,81.8,0,0,1,1,0,1,0,0,0,0,7
300000,40000,5.0,19.02,1198.0,67.05,0,0,1,1,0,1,0,0,0,0,2
500000,70000,5.0,22.54,1396.0,88.73,1,0,0,1,0,1,1,0,0,0,6
404000,122358,9.0,12.05,2179.0,120.0,1,0,0,1,0,1,0,0,0,0,10
500000,75000,7.0,14.07,2956.0,69.01,1,0,0,1,0,1,0,0,0,0,6
350000,120000,5.0,27.28,1047.0,69.0,1,0,0,1,0,1,0,0,0,0,4
380000,40000,5.0,17.57,1193.0,88.7,0,0,1,1,0,1,0,0,0,0,6
114999,95200,5.0,13.2,1495.0,94.0,0,0,1,1,0,1,0,0,0,1,13
335000,33033,5.0,19.4,1198.0,86.8,0,0,1,0,0,1,0,0,0,0,7
465000,63063,5.0,18.9,1197.0,82.0,0,0,1,0,0,0,0,0,0,0,6
290000,60000,5.0,21.02,1248.0,88.76,1,0,0,1,0,1,0,0,0,0,9
110000,45000,5.0,19.7,796.0,46.3,0,0,1,1,0,1,0,1,0,0,16
450000,80000,7.0,11.57,2179.0,138.1,1,0,0,1,0,1,0,0,0,1,10
400000,170000,7.0,13.6,2523.0,63.0,1,0,0,1,0,1,0,1,0,0,12
210000,207890,7.0,13.6,2523.0,63.0,1,0,0,1,0,1,0,1,0,0,14
4600000,7976,5.0,17.9,2143.0,170.0,1,0,0,1,0,0,0,0,0,0,3
220000,35000,8.0,16.8,796.0,34.2,0,0,1,1,0,1,0,0,0,0,5
450000,35000,5.0,18.9,1197.0,82.0,0,0,1,1,0,1,0,0,0,0,4
450000,35000,5.0,18.9,1197.0,82.0,0,0,1,1,0,1,0,0,0,0,4
290000,50000,5.0,16.95,1197.0,78.9,0,0,1,1,0,0,0,0,0,0,8
520000,20000,5.0,20.4,1197.0,81.8,0,0,1,1,0,1,0,0,0,0,5
265000,20000,5.0,16.95,1197.0,78.9,0,0,1,1,0,0,0,0,0,0,10
330000,50000,5.0,18.6,1197.0,85.8,0,0,1,1,0,1,0,1,0,0,9
330000,50000,5.0,18.6,1197.0,85.8,0,0,1,1,0,1,0,1,0,0,9
509999,120000,7.0,15.96,2523.0,62.1,1,0,0,1,0,1,0,0,0,0,7
500000,70000,5.0,17.1,1591.0,121.3,0,0,1,1,0,1,0,0,0,0,7
525000,50000,5.0,17.19,1197.0,81.86,0,0,1,1,0,1,0,0,0,0,6
675000,16500,5.0,21.01,1197.0,81.8,0,0,1,1,0,1,0,0,0,0,2
300000,70000,5.0,17.0,1197.0,80.0,0,0,1,1,0,1,0,0,0,0,11
